type,category,label,marker
fine,cancer,NPC1,TUBB3
fine,cancer,NPC1,HES6
fine,cancer,NPC1,TAGLN3
fine,cancer,NPC1,NEU4
fine,cancer,NPC1,MARCKSL1
fine,cancer,NPC1,CD24
fine,cancer,NPC1,STMN1
fine,cancer,NPC1,TCF12
fine,cancer,NPC1,BEX1
fine,cancer,NPC1,OLIG1
fine,cancer,NPC1,MAP2
fine,cancer,NPC1,FXYD6
fine,cancer,NPC1,PTPRS
fine,cancer,NPC1,MLLT11
fine,cancer,NPC1,NPPA
fine,cancer,NPC1,BCAN
fine,cancer,NPC1,MEST
fine,cancer,NPC1,ASCL1
fine,cancer,NPC1,BTG2
fine,cancer,NPC1,DCX
fine,cancer,NPC1,NXPH1
fine,cancer,NPC1,HN1
fine,cancer,NPC1,PFN2
fine,cancer,NPC1,SCG3
fine,cancer,NPC1,MYT1
fine,cancer,NPC1,CHD7
fine,cancer,NPC1,GPR56
fine,cancer,NPC1,TUBA1A
fine,cancer,NPC1,PCBP4
fine,cancer,NPC1,ETV1
fine,cancer,NPC1,SHD
fine,cancer,NPC1,TNR
fine,cancer,NPC1,AMOTL2
fine,cancer,NPC1,DBN1
fine,cancer,NPC1,HIP1
fine,cancer,NPC1,ABAT
fine,cancer,NPC1,ELAVL4
fine,cancer,NPC1,LMF1
fine,cancer,NPC1,GRIK2
fine,cancer,NPC1,SERINC5
fine,cancer,NPC1,TSPAN13
fine,cancer,NPC1,ELMO1
fine,cancer,NPC1,GLCCI1
fine,cancer,NPC1,SEZ6L
fine,cancer,NPC1,LRRN1
fine,cancer,NPC1,SEZ6
fine,cancer,NPC1,SOX11
fine,cancer,NPC1,A2M
fine,cancer,NPC1,TNC
fine,cancer,NPC1,ZFP36L1
fine,cancer,NPC1,PDLIM4
fine,cancer,NPC1,WDR13
fine,cancer,NPC1,NPNT
fine,cancer,NPC1,HSPB1
fine,cancer,NPC1,SGCE
fine,cancer,NPC1,GABARAPL1
fine,cancer,NPC1,PON2
fine,cancer,NPC1,CYR61
fine,cancer,NPC1,COL1A2
fine,cancer,NPC1,ANXA1
fine,cancer,NPC1,SAT1
fine,cancer,NPC1,ATP1A2
fine,cancer,NPC1,CHL1
fine,cancer,NPC2,STMN2
fine,cancer,NPC2,CD24
fine,cancer,NPC2,RND3
fine,cancer,NPC2,HMP19
fine,cancer,NPC2,TUBB3
fine,cancer,NPC2,MIAT
fine,cancer,NPC2,DCX
fine,cancer,NPC2,NSG1
fine,cancer,NPC2,ELAVL4
fine,cancer,NPC2,MLLT11
fine,cancer,NPC2,DLX6-AS1
fine,cancer,NPC2,SOX11
fine,cancer,NPC2,NREP
fine,cancer,NPC2,FNBP1L
fine,cancer,NPC2,TAGLN3
fine,cancer,NPC2,STMN4
fine,cancer,NPC2,DLX5
fine,cancer,NPC2,SOX4
fine,cancer,NPC2,MAP1B
fine,cancer,NPC2,RBFOX2
fine,cancer,NPC2,IGFBPL1
fine,cancer,NPC2,STMN1
fine,cancer,NPC2,HN1
fine,cancer,NPC2,TMEM161B-AS1
fine,cancer,NPC2,DPYSL3
fine,cancer,NPC2,Sep-03
fine,cancer,NPC2,PKIA
fine,cancer,NPC2,ATP1B1
fine,cancer,NPC2,DYNC1I1
fine,cancer,NPC2,CD200
fine,cancer,NPC2,SNAP25
fine,cancer,NPC2,PAK3
fine,cancer,NPC2,NDRG4
fine,cancer,NPC2,KIF5A
fine,cancer,NPC2,UCHL1
fine,cancer,NPC2,ENO2
fine,cancer,NPC2,KIF5C
fine,cancer,NPC2,DDAH2
fine,cancer,NPC2,TUBB2A
fine,cancer,NPC2,LBH
fine,cancer,NPC2,LOC150568
fine,cancer,NPC2,TCF4
fine,cancer,NPC2,GNG3
fine,cancer,NPC2,NFIB
fine,cancer,NPC2,DPYSL5
fine,cancer,NPC2,CRABP1
fine,cancer,NPC2,DBN1
fine,cancer,NPC2,NFIX
fine,cancer,NPC2,CEP170
fine,cancer,NPC2,BLCAP
fine,cancer,NPC2,CPNE1
fine,cancer,NPC2,CSPG4
fine,cancer,NPC2,PCMTD2
fine,cancer,NPC2,PDZD2
fine,cancer,NPC2,METL7B
fine,cancer,NPC2,EGFR-AS1
fine,cancer,NPC2,HEPN1
fine,cancer,NPC2,ANXA5
fine,cancer,NPC2,MT2A
fine,cancer,NPC2,SOCS2
fine,cancer,NPC2,NEAT1
fine,cancer,NPC2,ATP13A4
fine,cancer,NPC2,SLC1A3
fine,cancer,NPC2,DBI
fine,cancer,NPC2,MEOX2
fine,cancer,NPC2,GPR37L1
fine,cancer,NPC2,CD82
fine,cancer,NPC2,CST3
fine,cancer,NPC2,S100A16
fine,cancer,NPC2,MT3
fine,cancer,NPC2,SEC61G
fine,cancer,NPC2,EGFR
